timestamp,datetime,open,high,low,close,volume
1693540800,2023-09-01 04:00:00,1651.72,1651.93,1651.14,1651.45,114.74594748
1693541100,2023-09-01 04:05:00,1651.46,1652.42,1651.36,1652.4,44.19805198
1693541400,2023-09-01 04:10:00,1652.39,1652.56,1651.55,1652.34,38.83949313
1693541700,2023-09-01 04:15:00,1652.33,1652.34,1651.62,1651.66,24.66460015
1693542000,2023-09-01 04:20:00,1651.65,1651.65,1650.86,1651.44,76.15442155
1693542300,2023-09-01 04:25:00,1651.43,1651.44,1650.7,1650.79,103.00174004
1693542600,2023-09-01 04:30:00,1650.79,1651.09,1650.3,1651.08,35.85964514
1693542900,2023-09-01 04:35:00,1651.08,1651.09,1650.28,1650.52,37.30648619
1693543200,2023-09-01 04:40:00,1650.52,1650.88,1650.2,1650.87,69.39113387
1693543500,2023-09-01 04:45:00,1650.87,1650.87,1650.0,1650.01,43.82579685
1693543800,2023-09-01 04:50:00,1650.01,1650.59,1649.69,1650.17,65.04675839
1693544100,2023-09-01 04:55:00,1650.18,1650.25,1649.64,1649.77,84.93151894
1693544400,2023-09-01 05:00:00,1649.77,1650.36,1649.51,1649.6,122.14031496
1693544700,2023-09-01 05:05:00,1649.6,1649.74,1649.35,1649.35,53.40711694
1693545000,2023-09-01 05:10:00,1649.35,1649.76,1648.82,1649.2,18.89983267
1693545300,2023-09-01 05:15:00,1649.21,1649.41,1648.4,1649.23,62.11334104
1693545600,2023-09-01 05:20:00,1649.24,1649.47,1648.88,1648.99,50.89113135
1693545900,2023-09-01 05:25:00,1648.99,1649.08,1648.91,1649.05,44.89164803
1693546200,2023-09-01 05:30:00,1649.05,1649.05,1648.1,1648.41,77.30175812
1693546500,2023-09-01 05:35:00,1648.41,1648.56,1648.25,1648.27,19.99905999
1693546800,2023-09-01 05:40:00,1648.27,1648.64,1648.22,1648.26,22.40260201
1693547100,2023-09-01 05:45:00,1648.25,1649.41,1647.94,1649.21,126.65847308
